Year,mean,n,Population,Region
2014,NA,NA,MidMain,Yukon (CA)
2015,NA,NA,MidMain,Yukon (CA)
2016,NA,NA,MidMain,Yukon (CA)
2017,NA,NA,MidMain,Yukon (CA)
1960,NA,NA,Pelly,Yukon (CA)
1961,NA,NA,Pelly,Yukon (CA)
1962,NA,NA,Pelly,Yukon (CA)
1963,NA,NA,Pelly,Yukon (CA)
1964,NA,NA,Pelly,Yukon (CA)
1965,NA,NA,Pelly,Yukon (CA)
1966,NA,2,Pelly,Yukon (CA)
1967,NA,NA,Pelly,Yukon (CA)
1968,NA,NA,Pelly,Yukon (CA)
1969,NA,NA,Pelly,Yukon (CA)
1970,NA,NA,Pelly,Yukon (CA)
1971,NA,NA,Pelly,Yukon (CA)
1972,NA,NA,Pelly,Yukon (CA)
1973,NA,NA,Pelly,Yukon (CA)
1974,NA,NA,Pelly,Yukon (CA)
1975,NA,NA,Pelly,Yukon (CA)
1976,NA,NA,Pelly,Yukon (CA)
1977,NA,NA,Pelly,Yukon (CA)
1978,NA,NA,Pelly,Yukon (CA)
1979,NA,NA,Pelly,Yukon (CA)
1980,NA,NA,Pelly,Yukon (CA)
1981,874.1780822,235,Pelly,Yukon (CA)
1982,874.5454545,11,Pelly,Yukon (CA)
1983,NA,NA,Pelly,Yukon (CA)
1984,NA,NA,Pelly,Yukon (CA)
1985,NA,NA,Pelly,Yukon (CA)
1986,NA,NA,Pelly,Yukon (CA)
1987,NA,NA,Pelly,Yukon (CA)
1988,902.4390244,83,Pelly,Yukon (CA)
1989,868,35,Pelly,Yukon (CA)
1990,NA,NA,Pelly,Yukon (CA)
1991,NA,NA,Pelly,Yukon (CA)
1992,NA,NA,Pelly,Yukon (CA)
1993,NA,NA,Pelly,Yukon (CA)
1994,NA,NA,Pelly,Yukon (CA)
1995,NA,NA,Pelly,Yukon (CA)
1996,NA,NA,Pelly,Yukon (CA)
1997,NA,NA,Pelly,Yukon (CA)
1998,NA,NA,Pelly,Yukon (CA)
1999,NA,NA,Pelly,Yukon (CA)
2000,NA,NA,Pelly,Yukon (CA)
2001,NA,NA,Pelly,Yukon (CA)
2002,NA,NA,Pelly,Yukon (CA)
2003,NA,NA,Pelly,Yukon (CA)
2004,NA,NA,Pelly,Yukon (CA)
2005,NA,NA,Pelly,Yukon (CA)
2006,845,40,Pelly,Yukon (CA)
2007,NA,NA,Pelly,Yukon (CA)
2008,NA,NA,Pelly,Yukon (CA)
2009,NA,NA,Pelly,Yukon (CA)
2010,NA,NA,Pelly,Yukon (CA)
2011,NA,NA,Pelly,Yukon (CA)
2012,NA,NA,Pelly,Yukon (CA)
2013,NA,NA,Pelly,Yukon (CA)
2014,803.5393258,89,Pelly,Yukon (CA)
2015,NA,NA,Pelly,Yukon (CA)
2016,NA,NA,Pelly,Yukon (CA)
2017,NA,NA,Pelly,Yukon (CA)
1960,NA,NA,Stewart,Yukon (CA)
1961,NA,NA,Stewart,Yukon (CA)
1962,NA,NA,Stewart,Yukon (CA)
1963,NA,NA,Stewart,Yukon (CA)
1964,NA,NA,Stewart,Yukon (CA)
1965,NA,NA,Stewart,Yukon (CA)
1966,NA,NA,Stewart,Yukon (CA)
1967,NA,NA,Stewart,Yukon (CA)
1968,NA,NA,Stewart,Yukon (CA)
1969,NA,NA,Stewart,Yukon (CA)
1970,NA,NA,Stewart,Yukon (CA)
1971,NA,NA,Stewart,Yukon (CA)
1972,NA,NA,Stewart,Yukon (CA)
1973,NA,NA,Stewart,Yukon (CA)
1974,NA,NA,Stewart,Yukon (CA)
1975,NA,NA,Stewart,Yukon (CA)
1976,NA,NA,Stewart,Yukon (CA)
1977,NA,NA,Stewart,Yukon (CA)
1978,NA,NA,Stewart,Yukon (CA)
1979,NA,NA,Stewart,Yukon (CA)
1980,NA,NA,Stewart,Yukon (CA)
1981,NA,NA,Stewart,Yukon (CA)
1982,NA,NA,Stewart,Yukon (CA)
1983,NA,NA,Stewart,Yukon (CA)
1984,NA,NA,Stewart,Yukon (CA)
1985,NA,NA,Stewart,Yukon (CA)
1986,NA,NA,Stewart,Yukon (CA)
1987,NA,NA,Stewart,Yukon (CA)
1988,NA,NA,Stewart,Yukon (CA)
1989,NA,NA,Stewart,Yukon (CA)
1990,861.8181818,24,Stewart,Yukon (CA)
1991,NA,NA,Stewart,Yukon (CA)
1992,NA,NA,Stewart,Yukon (CA)
1993,NA,NA,Stewart,Yukon (CA)
1994,NA,NA,Stewart,Yukon (CA)
1995,NA,NA,Stewart,Yukon (CA)
1996,NA,NA,Stewart,Yukon (CA)
1997,NA,NA,Stewart,Yukon (CA)
1998,NA,NA,Stewart,Yukon (CA)
1999,NA,NA,Stewart,Yukon (CA)
2000,NA,NA,Stewart,Yukon (CA)
2001,NA,NA,Stewart,Yukon (CA)
2002,NA,NA,Stewart,Yukon (CA)
2003,NA,NA,Stewart,Yukon (CA)
2004,NA,NA,Stewart,Yukon (CA)
2005,NA,NA,Stewart,Yukon (CA)
2006,NA,NA,Stewart,Yukon (CA)
2007,NA,NA,Stewart,Yukon (CA)
2008,NA,NA,Stewart,Yukon (CA)
2009,NA,NA,Stewart,Yukon (CA)
2010,NA,NA,Stewart,Yukon (CA)
2011,NA,NA,Stewart,Yukon (CA)
2012,NA,NA,Stewart,Yukon (CA)
2013,NA,NA,Stewart,Yukon (CA)
2014,NA,NA,Stewart,Yukon (CA)
2015,NA,NA,Stewart,Yukon (CA)
2016,NA,NA,Stewart,Yukon (CA)
2017,NA,NA,Stewart,Yukon (CA)
1960,NA,NA,Teslin,Yukon (CA)
1961,NA,NA,Teslin,Yukon (CA)
1962,NA,NA,Teslin,Yukon (CA)
1963,NA,NA,Teslin,Yukon (CA)
1964,NA,NA,Teslin,Yukon (CA)
1965,NA,NA,Teslin,Yukon (CA)
1966,NA,NA,Teslin,Yukon (CA)
1967,NA,NA,Teslin,Yukon (CA)
1968,NA,NA,Teslin,Yukon (CA)
1969,NA,NA,Teslin,Yukon (CA)
1970,NA,NA,Teslin,Yukon (CA)
1971,NA,NA,Teslin,Yukon (CA)
1972,NA,NA,Teslin,Yukon (CA)
1973,NA,NA,Teslin,Yukon (CA)
1974,NA,NA,Teslin,Yukon (CA)
1975,NA,NA,Teslin,Yukon (CA)
1976,NA,NA,Teslin,Yukon (CA)
1977,NA,NA,Teslin,Yukon (CA)
1978,NA,NA,Teslin,Yukon (CA)
1979,NA,NA,Teslin,Yukon (CA)
1980,816.673913,71,Teslin,Yukon (CA)
1981,802.1481481,244,Teslin,Yukon (CA)
1982,847.3541667,96,Teslin,Yukon (CA)
1983,826.5642458,182,Teslin,Yukon (CA)
1984,830.873494,166,Teslin,Yukon (CA)
1985,839.5844156,78,Teslin,Yukon (CA)
1986,813.5061728,167,Teslin,Yukon (CA)
1987,825.2941176,17,Teslin,Yukon (CA)
1988,841.7647059,17,Teslin,Yukon (CA)
1989,828.4848485,136,Teslin,Yukon (CA)
1990,811.875,99,Teslin,Yukon (CA)
1991,NA,NA,Teslin,Yukon (CA)
1992,NA,NA,Teslin,Yukon (CA)
1993,NA,NA,Teslin,Yukon (CA)
1994,NA,NA,Teslin,Yukon (CA)
1995,NA,NA,Teslin,Yukon (CA)
1996,NA,NA,Teslin,Yukon (CA)
1997,NA,NA,Teslin,Yukon (CA)
1998,NA,NA,Teslin,Yukon (CA)
1999,NA,NA,Teslin,Yukon (CA)
2000,NA,NA,Teslin,Yukon (CA)
2001,NA,NA,Teslin,Yukon (CA)
2002,NA,NA,Teslin,Yukon (CA)
2003,NA,NA,Teslin,Yukon (CA)
2004,NA,NA,Teslin,Yukon (CA)
2005,NA,NA,Teslin,Yukon (CA)
2006,NA,NA,Teslin,Yukon (CA)
2007,NA,NA,Teslin,Yukon (CA)
2008,NA,NA,Teslin,Yukon (CA)
2009,NA,NA,Teslin,Yukon (CA)
2010,NA,NA,Teslin,Yukon (CA)
2011,NA,NA,Teslin,Yukon (CA)
2012,NA,NA,Teslin,Yukon (CA)
2013,NA,NA,Teslin,Yukon (CA)
2014,847.8597786,304,Teslin,Yukon (CA)
2015,NA,NA,Teslin,Yukon (CA)
2016,NA,NA,Teslin,Yukon (CA)
2017,NA,NA,Teslin,Yukon (CA)
1960,NA,NA,UprLksMain,Yukon (CA)
1961,NA,NA,UprLksMain,Yukon (CA)
1962,NA,NA,UprLksMain,Yukon (CA)
1963,NA,NA,UprLksMain,Yukon (CA)
1964,NA,NA,UprLksMain,Yukon (CA)
1965,NA,NA,UprLksMain,Yukon (CA)
1966,NA,NA,UprLksMain,Yukon (CA)
1967,NA,NA,UprLksMain,Yukon (CA)
1968,NA,NA,UprLksMain,Yukon (CA)
1969,NA,NA,UprLksMain,Yukon (CA)
1970,NA,NA,UprLksMain,Yukon (CA)
1971,NA,NA,UprLksMain,Yukon (CA)
1972,NA,NA,UprLksMain,Yukon (CA)
1973,NA,NA,UprLksMain,Yukon (CA)
1974,NA,NA,UprLksMain,Yukon (CA)
1975,NA,NA,UprLksMain,Yukon (CA)
1976,NA,NA,UprLksMain,Yukon (CA)
1977,NA,NA,UprLksMain,Yukon (CA)
1978,NA,NA,UprLksMain,Yukon (CA)
1979,NA,NA,UprLksMain,Yukon (CA)
1980,NA,NA,UprLksMain,Yukon (CA)
1981,NA,NA,UprLksMain,Yukon (CA)
1982,978.375,8,UprLksMain,Yukon (CA)
1983,NA,NA,UprLksMain,Yukon (CA)
1984,NA,NA,UprLksMain,Yukon (CA)
1985,NA,NA,UprLksMain,Yukon (CA)
1986,NA,NA,UprLksMain,Yukon (CA)
1987,NA,NA,UprLksMain,Yukon (CA)
1988,878.8679245,54,UprLksMain,Yukon (CA)
1989,NA,NA,UprLksMain,Yukon (CA)
1990,883.75,10,UprLksMain,Yukon (CA)
1991,NA,NA,UprLksMain,Yukon (CA)
1992,NA,NA,UprLksMain,Yukon (CA)
1993,NA,NA,UprLksMain,Yukon (CA)
1994,NA,NA,UprLksMain,Yukon (CA)
1995,NA,NA,UprLksMain,Yukon (CA)
1996,NA,NA,UprLksMain,Yukon (CA)
1997,NA,NA,UprLksMain,Yukon (CA)
1998,NA,NA,UprLksMain,Yukon (CA)
1999,NA,NA,UprLksMain,Yukon (CA)
2000,NA,NA,UprLksMain,Yukon (CA)
2001,NA,NA,UprLksMain,Yukon (CA)
2002,NA,NA,UprLksMain,Yukon (CA)
2003,NA,NA,UprLksMain,Yukon (CA)
2004,NA,NA,UprLksMain,Yukon (CA)
2005,NA,NA,UprLksMain,Yukon (CA)
2006,NA,NA,UprLksMain,Yukon (CA)
2007,NA,NA,UprLksMain,Yukon (CA)
2008,NA,NA,UprLksMain,Yukon (CA)
2009,NA,NA,UprLksMain,Yukon (CA)
2010,NA,NA,UprLksMain,Yukon (CA)
2011,NA,NA,UprLksMain,Yukon (CA)
2012,NA,NA,UprLksMain,Yukon (CA)
2013,NA,NA,UprLksMain,Yukon (CA)
2014,NA,NA,UprLksMain,Yukon (CA)
2015,NA,NA,UprLksMain,Yukon (CA)
2016,NA,NA,UprLksMain,Yukon (CA)
2017,NA,NA,UprLksMain,Yukon (CA)
1960,NA,NA,WhiteDonjek,Yukon (CA)
1961,NA,NA,WhiteDonjek,Yukon (CA)
1962,NA,NA,WhiteDonjek,Yukon (CA)
1963,NA,NA,WhiteDonjek,Yukon (CA)
1964,NA,NA,WhiteDonjek,Yukon (CA)
1965,NA,NA,WhiteDonjek,Yukon (CA)
1966,NA,NA,WhiteDonjek,Yukon (CA)
1967,NA,NA,WhiteDonjek,Yukon (CA)
1968,NA,NA,WhiteDonjek,Yukon (CA)
1969,NA,NA,WhiteDonjek,Yukon (CA)
1970,NA,NA,WhiteDonjek,Yukon (CA)
1971,NA,NA,WhiteDonjek,Yukon (CA)
1972,NA,NA,WhiteDonjek,Yukon (CA)
1973,NA,NA,WhiteDonjek,Yukon (CA)
1974,NA,NA,WhiteDonjek,Yukon (CA)
1975,NA,NA,WhiteDonjek,Yukon (CA)
1976,NA,NA,WhiteDonjek,Yukon (CA)
1977,NA,NA,WhiteDonjek,Yukon (CA)
1978,NA,NA,WhiteDonjek,Yukon (CA)
1979,NA,NA,WhiteDonjek,Yukon (CA)
1980,NA,NA,WhiteDonjek,Yukon (CA)
1981,NA,NA,WhiteDonjek,Yukon (CA)
1982,NA,NA,WhiteDonjek,Yukon (CA)
1983,NA,NA,WhiteDonjek,Yukon (CA)
1984,NA,NA,WhiteDonjek,Yukon (CA)
1985,NA,NA,WhiteDonjek,Yukon (CA)
1986,NA,NA,WhiteDonjek,Yukon (CA)
1987,NA,NA,WhiteDonjek,Yukon (CA)
1988,NA,NA,WhiteDonjek,Yukon (CA)
1989,NA,NA,WhiteDonjek,Yukon (CA)
1990,NA,NA,WhiteDonjek,Yukon (CA)
1991,NA,NA,WhiteDonjek,Yukon (CA)
1992,NA,NA,WhiteDonjek,Yukon (CA)
1993,NA,NA,WhiteDonjek,Yukon (CA)
1994,NA,NA,WhiteDonjek,Yukon (CA)
1995,NA,NA,WhiteDonjek,Yukon (CA)
1996,NA,NA,WhiteDonjek,Yukon (CA)
1997,NA,NA,WhiteDonjek,Yukon (CA)
1998,NA,NA,WhiteDonjek,Yukon (CA)
1999,NA,NA,WhiteDonjek,Yukon (CA)
2000,NA,NA,WhiteDonjek,Yukon (CA)
2001,NA,NA,WhiteDonjek,Yukon (CA)
2002,NA,NA,WhiteDonjek,Yukon (CA)
2003,NA,NA,WhiteDonjek,Yukon (CA)
2004,NA,NA,WhiteDonjek,Yukon (CA)
2005,NA,NA,WhiteDonjek,Yukon (CA)
2006,NA,NA,WhiteDonjek,Yukon (CA)
2007,NA,NA,WhiteDonjek,Yukon (CA)
2008,NA,NA,WhiteDonjek,Yukon (CA)
2009,NA,NA,WhiteDonjek,Yukon (CA)
2010,NA,NA,WhiteDonjek,Yukon (CA)
2011,NA,NA,WhiteDonjek,Yukon (CA)
2012,NA,NA,WhiteDonjek,Yukon (CA)
2013,NA,NA,WhiteDonjek,Yukon (CA)
2014,NA,NA,WhiteDonjek,Yukon (CA)
2015,NA,NA,WhiteDonjek,Yukon (CA)
2016,NA,NA,WhiteDonjek,Yukon (CA)
2017,NA,NA,WhiteDonjek,Yukon (CA)
1960,NA,NA,Chena,Yukon (US)
1961,NA,NA,Chena,Yukon (US)
1962,NA,NA,Chena,Yukon (US)
1963,NA,NA,Chena,Yukon (US)
1964,NA,NA,Chena,Yukon (US)
1965,NA,NA,Chena,Yukon (US)
1966,NA,NA,Chena,Yukon (US)
1967,NA,NA,Chena,Yukon (US)
1968,NA,NA,Chena,Yukon (US)
1969,NA,NA,Chena,Yukon (US)
1970,NA,NA,Chena,Yukon (US)
1971,NA,NA,Chena,Yukon (US)
1972,NA,NA,Chena,Yukon (US)
1973,NA,NA,Chena,Yukon (US)
1974,NA,NA,Chena,Yukon (US)
1975,832.4,25,Chena,Yukon (US)
1976,NA,NA,Chena,Yukon (US)
1977,NA,NA,Chena,Yukon (US)
1978,NA,NA,Chena,Yukon (US)
1979,NA,NA,Chena,Yukon (US)
1980,750.4193548,31,Chena,Yukon (US)
1981,783.1666667,67,Chena,Yukon (US)
1982,805.0869565,69,Chena,Yukon (US)
1983,868.7434555,203,Chena,Yukon (US)
1984,851.534413,255,Chena,Yukon (US)
1985,873.7974684,328,Chena,Yukon (US)
1986,841.547619,212,Chena,Yukon (US)
1987,868.7027027,370,Chena,Yukon (US)
1988,871.5625,305,Chena,Yukon (US)
1989,871.0819672,305,Chena,Yukon (US)
1990,868.9265306,490,Chena,Yukon (US)
1991,845.8039216,256,Chena,Yukon (US)
1992,864.2972973,333,Chena,Yukon (US)
1993,841.7105263,38,Chena,Yukon (US)
1994,847.8909091,275,Chena,Yukon (US)
1995,873.023544,808,Chena,Yukon (US)
1996,882.9761337,420,Chena,Yukon (US)
1997,886.7077799,527,Chena,Yukon (US)
1998,797.6635514,107,Chena,Yukon (US)
1999,821.0820896,209,Chena,Yukon (US)
2000,836.9230769,130,Chena,Yukon (US)
2001,NA,253,Chena,Yukon (US)
2002,839.2419825,343,Chena,Yukon (US)
2003,855.9951456,206,Chena,Yukon (US)
2004,868.725,160,Chena,Yukon (US)
2005,811.8395522,268,Chena,Yukon (US)
2006,840.4098361,183,Chena,Yukon (US)
2007,745,30,Chena,Yukon (US)
2008,844.7222222,18,Chena,Yukon (US)
2009,835.2583026,272,Chena,Yukon (US)
2010,817.037037,54,Chena,Yukon (US)
2011,818.6858974,156,Chena,Yukon (US)
2012,798.1818182,132,Chena,Yukon (US)
2013,810.5555556,81,Chena,Yukon (US)
2014,779.852459,123,Chena,Yukon (US)
2015,809.4582043,324,Chena,Yukon (US)
2016,770.6395349,86,Chena,Yukon (US)
2017,NA,NA,Chena,Yukon (US)
1960,NA,NA,EFAndreafsky,Yukon (US)
1961,NA,NA,EFAndreafsky,Yukon (US)
1962,NA,NA,EFAndreafsky,Yukon (US)
1963,NA,NA,EFAndreafsky,Yukon (US)
1964,NA,NA,EFAndreafsky,Yukon (US)
1965,NA,NA,EFAndreafsky,Yukon (US)
1966,NA,NA,EFAndreafsky,Yukon (US)
1967,NA,NA,EFAndreafsky,Yukon (US)
1968,NA,NA,EFAndreafsky,Yukon (US)
1969,NA,NA,EFAndreafsky,Yukon (US)
1970,NA,NA,EFAndreafsky,Yukon (US)
1971,NA,NA,EFAndreafsky,Yukon (US)
1972,NA,NA,EFAndreafsky,Yukon (US)
1973,NA,NA,EFAndreafsky,Yukon (US)
1974,NA,NA,EFAndreafsky,Yukon (US)
1975,NA,NA,EFAndreafsky,Yukon (US)
1976,NA,NA,EFAndreafsky,Yukon (US)
1977,NA,NA,EFAndreafsky,Yukon (US)
1978,NA,NA,EFAndreafsky,Yukon (US)
1979,NA,NA,EFAndreafsky,Yukon (US)
1980,772.2727273,11,EFAndreafsky,Yukon (US)
1981,858.2571429,105,EFAndreafsky,Yukon (US)
1982,739.1891892,37,EFAndreafsky,Yukon (US)
1983,837.7818182,55,EFAndreafsky,Yukon (US)
1984,857.0430108,93,EFAndreafsky,Yukon (US)
1985,856.25,57,EFAndreafsky,Yukon (US)
1986,759.4827586,30,EFAndreafsky,Yukon (US)
1987,843.8362069,119,EFAndreafsky,Yukon (US)
1988,877.6190476,85,EFAndreafsky,Yukon (US)
1989,703.75,4,EFAndreafsky,Yukon (US)
1990,873.3875969,152,EFAndreafsky,Yukon (US)
1991,820.3378378,79,EFAndreafsky,Yukon (US)
1992,875.7142857,7,EFAndreafsky,Yukon (US)
1993,828.8118812,104,EFAndreafsky,Yukon (US)
1994,825.1142857,175,EFAndreafsky,Yukon (US)
1995,821.192053,151,EFAndreafsky,Yukon (US)
1996,738.7710843,166,EFAndreafsky,Yukon (US)
1997,760.1886792,159,EFAndreafsky,Yukon (US)
1998,775.1271186,118,EFAndreafsky,Yukon (US)
1999,812.6339286,112,EFAndreafsky,Yukon (US)
2000,759.8461538,104,EFAndreafsky,Yukon (US)
2001,858.4404762,84,EFAndreafsky,Yukon (US)
2002,772.5757576,99,EFAndreafsky,Yukon (US)
2003,779.7426471,272,EFAndreafsky,Yukon (US)
2004,753.8071066,197,EFAndreafsky,Yukon (US)
2005,773.287037,216,EFAndreafsky,Yukon (US)
2006,772.5925926,216,EFAndreafsky,Yukon (US)
2007,693.6774194,310,EFAndreafsky,Yukon (US)
2008,763.9320388,206,EFAndreafsky,Yukon (US)
2009,826.637931,1392,EFAndreafsky,Yukon (US)
2010,731.3091922,359,EFAndreafsky,Yukon (US)
2011,777.8731343,134,EFAndreafsky,Yukon (US)
2012,777.1156069,173,EFAndreafsky,Yukon (US)
2013,770.5483871,186,EFAndreafsky,Yukon (US)
2014,721.6265823,158,EFAndreafsky,Yukon (US)
2015,821.8687783,221,EFAndreafsky,Yukon (US)
2016,765.0243902,82,EFAndreafsky,Yukon (US)
2017,NA,NA,EFAndreafsky,Yukon (US)
1960,NA,NA,Gisasa,Yukon (US)
1961,NA,NA,Gisasa,Yukon (US)
1962,NA,NA,Gisasa,Yukon (US)
1963,NA,NA,Gisasa,Yukon (US)
1964,NA,NA,Gisasa,Yukon (US)
1965,NA,NA,Gisasa,Yukon (US)
1966,NA,NA,Gisasa,Yukon (US)
1967,NA,NA,Gisasa,Yukon (US)
1968,NA,NA,Gisasa,Yukon (US)
1969,NA,NA,Gisasa,Yukon (US)
1970,NA,NA,Gisasa,Yukon (US)
1971,NA,NA,Gisasa,Yukon (US)
1972,NA,NA,Gisasa,Yukon (US)
1973,NA,NA,Gisasa,Yukon (US)
1974,NA,NA,Gisasa,Yukon (US)
1975,NA,NA,Gisasa,Yukon (US)
1976,NA,NA,Gisasa,Yukon (US)
1977,NA,NA,Gisasa,Yukon (US)
1978,NA,NA,Gisasa,Yukon (US)
1979,NA,NA,Gisasa,Yukon (US)
1980,NA,NA,Gisasa,Yukon (US)
1981,NA,NA,Gisasa,Yukon (US)
1982,830.3636364,11,Gisasa,Yukon (US)
1983,NA,NA,Gisasa,Yukon (US)
1984,NA,NA,Gisasa,Yukon (US)
1985,NA,NA,Gisasa,Yukon (US)
1986,NA,NA,Gisasa,Yukon (US)
1987,871.9642857,75,Gisasa,Yukon (US)
1988,861.0465116,48,Gisasa,Yukon (US)
1989,860,1,Gisasa,Yukon (US)
1990,NA,NA,Gisasa,Yukon (US)
1991,NA,NA,Gisasa,Yukon (US)
1992,NA,NA,Gisasa,Yukon (US)
1993,NA,NA,Gisasa,Yukon (US)
1994,NA,NA,Gisasa,Yukon (US)
1995,851.5168539,178,Gisasa,Yukon (US)
1996,829.3,80,Gisasa,Yukon (US)
1997,837.8928571,140,Gisasa,Yukon (US)
1998,762.2794118,68,Gisasa,Yukon (US)
1999,822.3333333,150,Gisasa,Yukon (US)
2000,817.0617284,243,Gisasa,Yukon (US)
2001,845.6540698,344,Gisasa,Yukon (US)
2002,812.4793388,121,Gisasa,Yukon (US)
2003,812.7230769,196,Gisasa,Yukon (US)
2004,830.9653465,202,Gisasa,Yukon (US)
2005,758.941704,223,Gisasa,Yukon (US)
2006,745.2380952,168,Gisasa,Yukon (US)
2007,791.6783217,144,Gisasa,Yukon (US)
2008,799.2222222,90,Gisasa,Yukon (US)
2009,828.2322581,155,Gisasa,Yukon (US)
2010,774.2267442,172,Gisasa,Yukon (US)
2011,779.3984962,133,Gisasa,Yukon (US)
2012,751.3090129,233,Gisasa,Yukon (US)
2013,824.757764,161,Gisasa,Yukon (US)
2014,801.0384615,26,Gisasa,Yukon (US)
2015,798.5897436,78,Gisasa,Yukon (US)
2016,782.6944444,72,Gisasa,Yukon (US)
2017,NA,NA,Gisasa,Yukon (US)
1960,NA,NA,Salcha,Yukon (US)
1961,NA,NA,Salcha,Yukon (US)
1962,NA,NA,Salcha,Yukon (US)
1963,NA,NA,Salcha,Yukon (US)
1964,NA,NA,Salcha,Yukon (US)
1965,NA,NA,Salcha,Yukon (US)
1966,866.75,8,Salcha,Yukon (US)
1967,NA,NA,Salcha,Yukon (US)
1968,786.6666667,3,Salcha,Yukon (US)
1969,NA,NA,Salcha,Yukon (US)
1970,845.3658537,41,Salcha,Yukon (US)
1971,NA,NA,Salcha,Yukon (US)
1972,899.2329545,176,Salcha,Yukon (US)
1973,908.5,44,Salcha,Yukon (US)
1974,864.9298246,57,Salcha,Yukon (US)
1975,841.9565217,92,Salcha,Yukon (US)
1976,871.6212121,66,Salcha,Yukon (US)
1977,873.6753247,77,Salcha,Yukon (US)
1978,885.8974359,40,Salcha,Yukon (US)
1979,894.375,96,Salcha,Yukon (US)
1980,783.0851064,146,Salcha,Yukon (US)
1981,785.0163265,245,Salcha,Yukon (US)
1982,859.2169312,189,Salcha,Yukon (US)
1983,867.7854671,290,Salcha,Yukon (US)
1984,868.8632813,259,Salcha,Yukon (US)
1985,852.5551471,288,Salcha,Yukon (US)
1986,868.287037,230,Salcha,Yukon (US)
1987,865.4987342,395,Salcha,Yukon (US)
1988,880.711775,572,Salcha,Yukon (US)
1989,886.7836257,172,Salcha,Yukon (US)
1990,883.8238916,816,Salcha,Yukon (US)
1991,856.7354369,422,Salcha,Yukon (US)
1992,871.1278195,276,Salcha,Yukon (US)
1993,839.3959732,149,Salcha,Yukon (US)
1994,842.3611111,288,Salcha,Yukon (US)
1995,852.1311475,366,Salcha,Yukon (US)
1996,871.1857143,350,Salcha,Yukon (US)
1997,874.952381,105,Salcha,Yukon (US)
1998,757.9767442,43,Salcha,Yukon (US)
1999,855.6756757,185,Salcha,Yukon (US)
2000,769.7368421,19,Salcha,Yukon (US)
2001,826.0526316,114,Salcha,Yukon (US)
2002,874.5495495,111,Salcha,Yukon (US)
2003,866.8571429,70,Salcha,Yukon (US)
2004,880.5333333,150,Salcha,Yukon (US)
2005,831.7955182,357,Salcha,Yukon (US)
2006,856.4056225,249,Salcha,Yukon (US)
2007,830.1709402,117,Salcha,Yukon (US)
2008,830.0729927,137,Salcha,Yukon (US)
2009,859.15,200,Salcha,Yukon (US)
2010,806.1607143,168,Salcha,Yukon (US)
2011,843.8446215,251,Salcha,Yukon (US)
2012,819.2338983,296,Salcha,Yukon (US)
2013,833.960396,101,Salcha,Yukon (US)
2014,835.8098592,142,Salcha,Yukon (US)
2015,831.460177,226,Salcha,Yukon (US)
2016,743.4789474,190,Salcha,Yukon (US)
2017,NA,NA,Salcha,Yukon (US)
1960,NA,NA,MainstemLower,Yukon (US)
1961,NA,NA,MainstemLower,Yukon (US)
1962,NA,NA,MainstemLower,Yukon (US)
1963,NA,NA,MainstemLower,Yukon (US)
1964,NA,NA,MainstemLower,Yukon (US)
1965,NA,NA,MainstemLower,Yukon (US)
1966,NA,NA,MainstemLower,Yukon (US)
1967,761.875,42,MainstemLower,Yukon (US)
1968,631.4117647,35,MainstemLower,Yukon (US)
1969,NA,NA,MainstemLower,Yukon (US)
1970,NA,NA,MainstemLower,Yukon (US)
1971,595.2777778,36,MainstemLower,Yukon (US)
1972,NA,NA,MainstemLower,Yukon (US)
1973,846,10,MainstemLower,Yukon (US)
1974,NA,NA,MainstemLower,Yukon (US)
1975,NA,NA,MainstemLower,Yukon (US)
1976,765.0512821,118,MainstemLower,Yukon (US)
1977,831.3910256,313,MainstemLower,Yukon (US)
1978,763.0972222,144,MainstemLower,Yukon (US)
1979,692.6304348,46,MainstemLower,Yukon (US)
1980,717.731405,242,MainstemLower,Yukon (US)
1981,791.4864048,672,MainstemLower,Yukon (US)
1982,667.244,500,MainstemLower,Yukon (US)
1983,726.9680511,626,MainstemLower,Yukon (US)
1984,739.0096735,829,MainstemLower,Yukon (US)
1985,698.9267399,576,MainstemLower,Yukon (US)
1986,761.3391892,827,MainstemLower,Yukon (US)
1987,816.2513602,986,MainstemLower,Yukon (US)
1988,734.0747757,1030,MainstemLower,Yukon (US)
1989,754.6587302,763,MainstemLower,Yukon (US)
1990,748.3060837,1104,MainstemLower,Yukon (US)
1991,757.4166667,899,MainstemLower,Yukon (US)
1992,743.4653061,492,MainstemLower,Yukon (US)
1993,755.1975028,892,MainstemLower,Yukon (US)
1994,764.8200758,1056,MainstemLower,Yukon (US)
1995,766.7912351,1258,MainstemLower,Yukon (US)
1996,708.7996954,1313,MainstemLower,Yukon (US)
1997,708.074856,1588,MainstemLower,Yukon (US)
1998,697.5889621,1214,MainstemLower,Yukon (US)
1999,703.4314429,1416,MainstemLower,Yukon (US)
2000,732.7201493,1350,MainstemLower,Yukon (US)
2001,756.4651568,1728,MainstemLower,Yukon (US)
2002,676.5827787,2410,MainstemLower,Yukon (US)
2003,723.2537556,2501,MainstemLower,Yukon (US)
2004,703.7157414,2861,MainstemLower,Yukon (US)
2005,718.5402771,1956,MainstemLower,Yukon (US)
2006,712.7126963,1536,MainstemLower,Yukon (US)
2007,681.3338983,1773,MainstemLower,Yukon (US)
2008,697.5923685,2159,MainstemLower,Yukon (US)
