"SiteID","Latitude","Longitude"
"adfg_Eagle",64.873502,-141.078586
"adfg_Chandindu",64.2694444444444,-139.716944444444
"adfg_Klondike",63.58,-138.43
"adfg_Nordenskiold",61.51,-136.06
"adfg_Emmonak",62.7775,-164.546
"adfg_Rapids",65.338797,-151.071579
"adfg_Kuskokwim_Sonar",60.8011116666667,-162.552778333333
"adfg_Bethel_Test_Fishery",60.776353,-161.661062
"adfg_Kalskag_Fish_Wheel",61.55075,-160.189533333333
"adfg_Kwiniuk",64.7206,-162.016733
"avf_09AB001",60.94728333,-135.0936167
"avf_09AB002",60.75963333,-135.10075
"avf_09AB003",60.62775,-134.869
"avf_09AC001",60.72565,-135.48625
"avf_09AC002",60.64321667,-136.1235
"avf_09AF001",61.5859,-134.9309333
"avf_09AF002",61.56745,-134.89915
"avf_09AH001",62.28693333,-136.2386
"avf_09AH002",62.28208333,-136.3105333
"avf_09AH004",62.12226667,-136.27125
"avf_09AH003",62.09473333,-136.27125
"avf_09AH005",62.0935,-135.30635
"avf_09AH006",61.8573,-136.1089833
"avf_09BC001",62.84111667,-136.6831333
"avf_09BC003",62.19186667,-133.1809
"avf_09BC002",62.1845,-133.1833
"avf_09DD001",63.60815,-137.2772333
"avf_09DD002",63.5553,-137.4152
"avf_09DD003",63.38245,-136.6839333
"avf_09EA001",64.0017,-138.5960167
"OSM_Aniak",61.50272,-159.37423
"OSM_Anvik",62.80346,-160.67873
"OSM_Chandalar",66.700167,-146.04383
"OSM_Chena",64.79425,-147.15141
"OSM_EF_Andreafsky",62.116444,-162.80672
"OSM_George",61.925,-157.70167
"OSM_Gisasa",65.253317,-157.713917
"OSM_Henshaw",66.55633,-152.20997
"OSM_Kwethluk",60.51828,-161.09245
"OSM_Salcha",64.47726,-146.78262
"OSM_Tatlawiksuk",61.93485,-156.18997
"OSM_Tuluksak",61.04402,-160.55415
"OSM_Kogrukluk",60.841111,-157.845556
"OSM_Salmon",61.062777,-159.194444
"OSM_Sheenjek",66.78367,-144.46367
"OSM_Takotna",62.98861,-156.06417
"OSM_Unalakleet",63.872307,-160.674408
"OSM_Salmon_Pitka_Fork",62.88889,-154.51944
"Togiak_MFLR",59.159287,-161.389563
"usgs_15304010",61.8893006,-158.156842
"usgs_15310002",64.0344444,-142.5283333
"usgs_15330000",64.4668333,-142.21625
"usgs_15331000",64.4708611,-142.2215
"usgs_15348000",64.3088552,-141.4045168
"usgs_15392000",65.3921157,-145.7149559
"usgs_15446000",65.7107629,-144.3358018
"usgs_15457800",65.66483428,-149.0989254
"usgs_15484000",64.47152778,-146.9280556
"usgs_15493000",64.9019722,-146.3613333
"usgs_15515500",64.5649444,-149.094
"usgs_15518900",65.47151429,-148.2688894
"usgs_15519030",65.5229722,-148.5463889
"usgs_15519100",65.4648407,-148.6311143
"usgs_15564860",64.7368753,-156.8941483
"usgs_15564879",67.2544444,-150.1772222
"usgs_15565400",62.7887211,-160.699352
"usgs_15565447",61.9336866,-162.8829356
"usgs_15565700",63.9342965,-160.3074725
"usgs_15580095",64.8919444,-163.67
"usgs_Weir1",65.10262,-164.82404
